"Name"	"Description"	"Language"	"Topics"	"URL"	"Stars"
"karpathy/autoresearch"	"AI agents running research on single-GPU nanochat training automatically"	"Python"	""	"https://github.com/karpathy/autoresearch"	"25545"
"aakriti1318/interview_questions"	"A curated collection of high-quality interview questions and answers for AI-related roles. This repository helps candidates understand how interviews differ across roles, not just memorize answers."	"Unknown"	""	"https://github.com/aakriti1318/interview_questions"	"885"
"alexeygrigorev/ai-engineering-field-guide"	"Research into AI engineering interview assignments, take-home challenges, and hiring practices from Q4 2025 / Q1 2026"	"HTML"	""	"https://github.com/alexeygrigorev/ai-engineering-field-guide"	"599"
"Raphire/Win11Debloat"	"A simple, lightweight PowerShell script that allows you to remove pre-installed apps, disable telemetry, as well as perform various other changes to declutter and customize your Windows experience. Win11Debloat works for both Windows 10 and Windows 11."	"PowerShell"	"automated,bloatware,bloatware-removal,cleanup,cli,debloat,debloater,interactive,optimize,powershell,powershell-script,privacy,ps1,registry-tweaks,tweaks,windows,windows-10,windows-11,windows10,windows11"	"https://github.com/Raphire/Win11Debloat"	"41556"
"VectifyAI/PageIndex"	"≡ƒôæ PageIndex: Document Index for Vectorless, Reasoning-based RAG"	"Python"	"agentic-ai,agents,ai,ai-agents,context-engineering,information-retrieval,llm,rag,reasoning,retrieval,retrieval-augmented-generation,vector-database"	"https://github.com/VectifyAI/PageIndex"	"21223"
"bytebot-ai/bytebot"	"Bytebot is a self-hosted AI desktop agent that automates computer tasks through natural language commands, operating within a containerized Linux desktop environment."	"TypeScript"	"agent,agentic-ai,agents,ai,ai-agents,ai-tools,anthropic,automation,bytebot,computer-use,computer-use-agent,cua,desktop,desktop-automation,docker,gemini,llm,mcp,openai"	"https://github.com/bytebot-ai/bytebot"	"10547"
"llmsresearch/paperbanana"	"Open source implementation and extension of Google ResearchΓÇÖs PaperBanana for automated academic figures, diagrams, and research visuals, expanded to new domains like slide generation."	"Python"	"academic-diagrams,academic-research,agentic-ai,arxiv,diagram-generation,gemini,google-gemini,llm,llms,mcp,mcp-server,multiagent,neurips,paperbanana,python-ai-research-tools,research-automation,research-tools,scientific-visualization,text-to-image,vlm"	"https://github.com/llmsresearch/paperbanana"	"1141"
"cheahjs/free-llm-api-resources"	"A list of free LLM inference resources accessible via API."	"Python"	"ai,claude,gemini,llama,llm,openai"	"https://github.com/cheahjs/free-llm-api-resources"	"15229"
"Pavelevich/llm-checker"	"Advanced CLI tool that scans your hardware and tells you exactly which LLM or sLLM models you can run locally, with full Ollama integration."	"JavaScript"	""	"https://github.com/Pavelevich/llm-checker"	"1450"
"millionco/react-doctor"	"Let coding agents diagnose and fix your React code"	"TypeScript"	"agents,code-review,doctor,react,skill"	"https://github.com/millionco/react-doctor"	"5623"
"logancyang/obsidian-copilot"	"THE Copilot in Obsidian"	"TypeScript"	"ai,aiagent,chatgpt,copilot,obsidian-plugin"	"https://github.com/logancyang/obsidian-copilot"	"6356"
"e2b-dev/awesome-ai-agents"	"A list of AI autonomous agents"	"Unknown"	"agent,ai,artificial-intelligence,autogpt,autonomous-agents,awesome,babyagi,copilot,gpt,gpt-4,gpt-engineer,openai,python"	"https://github.com/e2b-dev/awesome-ai-agents"	"26379"
"danittech/agents_mcp_demo"	"Agents MCP demo"	"Python"	""	"https://github.com/danittech/agents_mcp_demo"	"11"
"cookiecutter/cookiecutter"	"A cross-platform command-line utility that creates projects from cookiecutters (project templates), e.g. Python package projects, C projects."	"Python"	"cookiecutter,python"	"https://github.com/cookiecutter/cookiecutter"	"24728"
"vudovn/antigravity-kit"	"No description"	"TypeScript"	""	"https://github.com/vudovn/antigravity-kit"	"5752"
"OpenHands/software-agent-sdk"	"A clean, modular SDK for building AI agents with OpenHands V1."	"Python"	"agent,sdk"	"https://github.com/OpenHands/software-agent-sdk"	"572"
"KeygraphHQ/shannon"	"Shannon Lite is a fully autonomous AI pentester for web apps and APIs. 96.15% (100/104 exploits) on a hint-free, source-aware variant of the XBOW benchmark."	"TypeScript"	"penetration-testing,pentesting,security-audit,security-automation,security-tools"	"https://github.com/KeygraphHQ/shannon"	"33170"
"Orchestra-Research/AI-Research-SKILLs"	"Comprehensive open-source library of AI research and engineering skills for any AI model. Package the skills and your claude code/codex/gemini agent will be an AI research agent with full horsepower. Maintained by Orchestra Research."	"TeX"	"ai,ai-research,claude,claude-code,claude-skills,codex,gemini,gpt-5,grpo,huggingface,machine-leanring,megatron,skills,vllm"	"https://github.com/Orchestra-Research/AI-Research-SKILLs"	"4778"
"Saas-Starter-Kit/SAAS-Starter-Kit-Pro"	"A boilerplate for building Software-as-Service (SAAS) apps with Reactjs, and Nodejs"	"HTML"	"aws,boilerplate,hackathon-starter,nextjs,nodejs,react,reactjs,saas,saas-boilerplate,stripe,styled-components"	"https://github.com/Saas-Starter-Kit/SAAS-Starter-Kit-Pro"	"608"
"BerriAI/litellm"	"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]"	"Python"	"ai-gateway,anthropic,azure-openai,bedrock,gateway,langchain,litellm,llm,llm-gateway,llmops,mcp-gateway,openai,openai-proxy,vertex-ai"	"https://github.com/BerriAI/litellm"	"38673"
"sheeki03/tirith"	"Your browser catches homograph attacks. Your terminal doesn't. Tirith guards the gate and intercepts suspicious URLs, ANSI injection, and pipe-to-shell attacks before they execute."	"Rust"	"cli,devtools,homograph-attack,rust,security,shell,supply-chain-security,terminal,unicode,url-security"	"https://github.com/sheeki03/tirith"	"2006"
"transitive-bullshit/agentic"	"Your API ΓçÆ Paid MCP. Instantly."	"TypeScript"	"agents,ai,llms,openai"	"https://github.com/transitive-bullshit/agentic"	"18131"
"mithun50/SuperGravity"	"No description"	"Python"	""	"https://github.com/mithun50/SuperGravity"	"23"
"ShepAlderson/copilot-orchestra"	"No description"	"Unknown"	""	"https://github.com/ShepAlderson/copilot-orchestra"	"783"
