objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23768E+18,12.27257455,-8.260558093,19.3772,17.42771,16.41689,16.00279,15.66193,8095,301,2,381,8.05593E+18,GALAXY,0.1137839,7155,56629,418
1.23766E+18,177.7543009,54.16761372,16.55477,16.7953,17.28691,17.5746,17.8293,2821,301,2,174,7.70013E+18,STAR,-0.0006396276,6839,56425,362
1.23765E+18,173.650657,67.8735874,18.50882,16.67776,15.88844,15.50315,15.19838,1412,301,5,141,5.54035E+17,GALAXY,0.06369793,492,51955,335
1.23766E+18,198.4196843,47.533219,18.96543,17.71033,17.01655,16.63465,16.37758,3716,301,5,99,1.64504E+18,GALAXY,0.1042068,1461,53062,366
1.23767E+18,39.92286043,29.17409876,18.83314,17.17159,16.50847,16.25446,16.11178,5934,301,4,130,2.74959E+18,STAR,-0.0003521187,2442,54065,524
1.23766E+18,251.0647535,20.79603961,18.27611,17.07667,16.60136,16.33783,16.16579,3927,301,4,166,1.76665E+18,GALAXY,0.0323952,1569,53168,424
1.23766E+18,232.5869424,32.17321231,19.03692,17.14964,16.19931,15.74957,15.4193,3927,301,4,33,1.56163E+18,GALAXY,0.09138044,1387,53118,40
1.23766E+18,242.4132119,26.76744408,18.65297,17.10257,16.31899,15.87711,15.56867,3927,301,4,100,1.56852E+18,GALAXY,0.076949,1393,52824,502
1.23765E+18,148.5913752,4.751633354,19.05938,17.57685,17.09509,16.75525,16.62675,2126,301,5,197,6.43047E+17,GALAXY,0.08200276,571,52286,576
1.23767E+18,36.91526376,24.08637177,18.78726,17.12819,16.40216,16.11632,15.97406,5934,301,4,92,3.64916E+18,STAR,-1.31E-05,3241,54884,427
1.23767E+18,232.8504286,22.05459844,18.77781,18.60556,18.48884,18.22985,18.22707,4671,301,1,31,2.43431E+18,QSO,1.63683,2162,54207,422
1.23767E+18,346.2989194,22.25751691,17.48383,16.34096,15.82576,15.59164,15.48071,6354,301,1,178,2.95334E+18,STAR,-0.0006000673,2623,54328,383
1.23766E+18,232.5136511,32.07412388,19.00943,17.98547,17.64243,17.36496,17.34295,3927,301,4,33,1.56287E+18,GALAXY,0.08012502,1388,53119,429
1.23765E+18,189.8541471,-2.636599144,16.58941,15.12915,14.56525,14.38807,14.31969,1140,301,3,247,3.26182E+18,STAR,0.0001042941,2897,54585,319
1.23766E+18,241.4590468,27.24533052,18.25378,16.58313,15.89249,15.52189,15.30048,3927,301,4,94,1.56742E+18,GALAXY,0.04541309,1392,52822,593
1.23767E+18,206.453473,19.74373488,18.75872,18.1193,17.85694,17.5881,17.58601,5314,301,6,190,3.10194E+18,GALAXY,0.1177642,2755,54507,327
1.23765E+18,210.0164775,3.924162188,19.58006,17.70593,16.7491,16.33185,15.97441,2190,301,2,187,9.6379E+17,GALAXY,0.07512919,856,52339,71
1.23766E+18,137.4684748,43.87887493,19.29924,18.1433,17.71518,17.47768,17.43733,2777,301,3,207,9.36817E+17,GALAXY,0.09349865,832,52312,249
1.23765E+18,14.12311387,15.14281544,19.28338,17.53712,16.7281,16.32265,16.04339,1904,301,4,242,4.74099E+17,GALAXY,0.07877007,421,51821,346
1.23767E+18,166.7733318,28.78692446,18.67216,17.58479,17.23457,17.01149,16.8835,5061,301,4,343,2.4917E+18,GALAXY,0.03291672,2213,53792,310
1.23767E+18,123.7954656,15.61909825,18.99615,17.18664,16.59297,16.26609,16.03172,5061,301,4,65,2.55472E+18,GALAXY,0.02933223,2269,53711,185
1.23766E+18,242.895108,26.35413005,18.45179,16.53581,15.60624,15.17542,14.84507,3927,301,4,104,1.56842E+18,GALAXY,0.07519736,1393,52824,152
1.23766E+18,249.916244,21.66535793,19.52217,17.99568,17.23073,16.83187,16.55328,3927,301,4,157,1.76779E+18,GALAXY,0.0667976,1570,53149,477
1.23766E+18,254.3174856,18.45263092,19.01066,17.92526,17.26291,16.91928,16.64811,3927,301,4,192,1.76433E+18,GALAXY,0.03282385,1567,53172,166
1.23766E+18,149.6419039,6.016513568,18.80125,17.32627,16.65771,16.27342,16.0194,3015,301,3,237,1.12035E+18,GALAXY,0.09251179,995,52731,275
1.23766E+18,167.9641627,7.021248677,18.99998,17.70794,16.99309,16.63391,16.36014,3015,301,3,359,1.13045E+18,GALAXY,0.1134682,1004,52723,156
1.23766E+18,175.8827017,7.408145075,19.27139,17.50709,16.59691,16.2088,15.88555,3841,301,4,74,1.824E+18,GALAXY,0.0748936,1620,53137,152
1.23766E+18,186.8033557,7.639033998,18.41627,17.59278,17.49027,17.58324,17.56336,3841,301,4,146,1.83195E+18,GALAXY,0.003884084,1627,53473,399
